"Notes","County of Residence","County of Residence Code","Year","Year Code","Source of Payment for Delivery","Source of Payment for Delivery Code",Births
,"Unidentified Counties, MO","29999","2020","2020","Private Insurance","2",13213
,"Unidentified Counties, MO","29999","2020","2020","Self Pay","3",1425
,"Unidentified Counties, MO","29999","2021","2021","Medicaid","1",11613
,"Unidentified Counties, MO","29999","2021","2021","Private Insurance","2",13235
,"Unidentified Counties, MO","29999","2021","2021","Self Pay","3",1523
,"Unidentified Counties, MO","29999","2022","2022","Medicaid","1",11619
,"Unidentified Counties, MO","29999","2022","2022","Private Insurance","2",13026
,"Unidentified Counties, MO","29999","2022","2022","Self Pay","3",1762
,"Unidentified Counties, MO","29999","2023","2023","Medicaid","1",12019
,"Unidentified Counties, MO","29999","2023","2023","Private Insurance","2",12913
,"Unidentified Counties, MO","29999","2023","2023","Self Pay","3",1615
,"Unidentified Counties, MO","29999","2024","2024","Medicaid","1",11531
,"Unidentified Counties, MO","29999","2024","2024","Private Insurance","2",13235
,"Unidentified Counties, MO","29999","2024","2024","Self Pay","3",1815
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Gestational Diabetes: Yes; No"
"Gestational Hypertension: Yes; No"
"Marital Status: Married; Unmarried"
"Mother's Education: 8th grade or less; 9th through 12th grade with no diploma; High school graduate or GED completed; Some"
"college credit, but not a degree; Associate degree (AA, AS); Bachelor's degree (BA, AB, BS); Master's degree (MA, MS, MEng, MEd,"
"MSW, MBA); Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
"Mother's Pre-pregnancy BMI: Underweight <18.5; Normal 18.5-24.9; Overweight 25.0-29.9; Obesity I 30.0-34.9; Obesity II"
"35.0-39.9; Extreme Obesity III > 39.9"
"Mother's Single Race 6: American Indian or Alaska Native; Asian; Black or African American; Native Hawaiian or Other Pacific"
"Islander; White; More than one race"
"Number of Prenatal Visits Recode: No visits; 1 to 2 visits; 3 to 4 visits; 5 to 6 visits; 7 to 8 visits; 9 to 10 visits; 11 to"
"12 visits; 13 to 14 visits; 15 to 16 visits; 17 to 18 visits; 19 or more visits"
"OE Gestational Age Recode 11: Under 20 weeks; 20-27 weeks; 28-31 weeks; 32-33 weeks; 34-36 weeks; 37-38 weeks; 39 weeks; 40"
"weeks; 41 weeks; 42 weeks or more"
"Pre-pregnancy Diabetes: Yes; No"
"Pre-pregnancy Hypertension: Yes; No"
"Previous Preterm Birth: Yes; No"
"Prior Births Now Living: 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11 or more"
"Prior Other Pregnancy Outcomes: 0; 1; 2; 3; 4; 5; 6 or more"
"Source of Payment for Delivery: Medicaid; Private Insurance; Self Pay"
"States: Missouri (29)"
"Tobacco Use: Yes; No"
"Total Birth Order: 1; 2; 3; 4; 5; 6; 7; 8 or more"
"Trimester Prenatal Care Began: 1st to 3rd month; 4th to 6th month; 7th to final month; No prenatal care"
"Year: 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024"
"Group By: County of Residence; Year; Source of Payment for Delivery"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Jun 9, 2026 2:32:58 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Jun 9, 2026 2:32:58 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Beginning in 2017, due to state statutory restrictions, California no longer provides record-level data on the marital status"
"of the mother for births occurring in California to California residents and non-residents (including residents of other"
"states). For these births, ""Marital Status"" is coded as ""Not Reported""."
"5. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
