county,year,total_births,preterm_births,lbw_births,smoking_births,ppd_births,gd_births,pph_births,gh_births,preterm_rate,lbw_rate,smoking_rate,prepreg_diabetes_rate,gestational_diabetes_rate,prepreg_hypertension_rate,gestational_hypertension_rate,young_births,ama_births,young_mother_rate,advanced_age_rate,early_prenatal_births,early_prenatal_rate,college_births,college_education_rate,medicaid_births,medicaid_rate
"Clay County, MO",2017.0,2815.0,219.0,160.0,294.0,13.0,181.0,51.0,196.0,0.07779751332149201,0.056838365896980464,0.1044404973357016,0.004618117229129663,0.06429840142095915,0.018117229129662522,0.06962699822380107,115.0,385.0,0.04085257548845471,0.13676731793960922,2200.0,0.7815275310834814,1102.0,0.3914742451154529,774.0,0.27495559502664296
"Clay County, MO",2018.0,2901.0,255.0,173.0,277.0,27.0,196.0,59.0,206.0,0.08790072388831438,0.05963460875560152,0.09548431575318855,0.009307135470527405,0.06756290934160634,0.020337814546708032,0.07100999655291279,86.0,474.0,0.029644950017235435,0.16339193381592554,2254.0,0.7769734574284729,1179.0,0.40641158221303,794.0,0.2736987245777318
"Clay County, MO",2019.0,2918.0,275.0,188.0,238.0,25.0,209.0,60.0,246.0,0.09424263193968471,0.06442769019876628,0.08156271418779987,0.008567511994516792,0.07162440027416038,0.0205620287868403,0.08430431802604524,80.0,423.0,0.027416038382453736,0.14496230294722412,2325.0,0.7967786154900617,1170.0,0.4009595613433859,763.0,0.2614804660726525
"Clay County, MO",2020.0,2791.0,306.0,211.0,212.0,24.0,228.0,74.0,256.0,0.10963812253672518,0.07560014331780723,0.07595843783590112,0.008599068434252956,0.08169115012540308,0.026513794338946614,0.09172339663203152,79.0,436.0,0.02830526692941598,0.1562164098889287,2195.0,0.7864564672160516,1182.0,0.42350412038695806,767.0,0.2748118953780007
"Clay County, MO",2021.0,2626.0,257.0,197.0,168.0,34.0,254.0,75.0,291.0,0.09786747905559787,0.07501904036557502,0.06397562833206398,0.012947448591012947,0.09672505712109672,0.02856054836252856,0.11081492764661081,61.0,423.0,0.023229246001523228,0.16108149276466108,2144.0,0.8164508758568164,1177.0,0.4482102056359482,706.0,0.26884996191926885
"Clay County, MO",2022.0,2740.0,278.0,225.0,135.0,29.0,267.0,95.0,315.0,0.10145985401459855,0.08211678832116788,0.04927007299270073,0.010583941605839416,0.09744525547445256,0.03467153284671533,0.11496350364963503,64.0,469.0,0.02335766423357664,0.17116788321167883,2232.0,0.8145985401459854,1281.0,0.4675182481751825,712.0,0.25985401459854013
"Clay County, MO",2023.0,2677.0,280.0,196.0,106.0,26.0,271.0,94.0,309.0,0.10459469555472543,0.07321628688830781,0.03959656331714606,0.009712364587224505,0.10123272319760926,0.035113933507657825,0.11542771759432201,81.0,438.0,0.030257751214045572,0.16361598804632052,2165.0,0.8087411281285021,1167.0,0.4359357489727307,779.0,0.29099738513261114
"Clay County, MO",2024.0,2813.0,270.0,205.0,79.0,23.0,318.0,94.0,337.0,0.09598293636686811,0.0728759331674369,0.02808389619623178,0.008176324209029506,0.11304656949875577,0.03341628154994668,0.11980092428012798,80.0,472.0,0.028439388553146108,0.16779239246356203,2273.0,0.8080341272662638,1228.0,0.4365446142907927,755.0,0.2683967294703164
"Franklin County, MO",2016.0,1139.0,100.0,89.0,228.0,,66.0,19.0,84.0,0.08779631255487269,0.0781387181738367,0.20017559262510976,,0.05794556628621598,0.016681299385425813,0.07374890254609306,51.0,131.0,0.04477611940298507,0.11501316944688324,990.0,0.8691834942932397,297.0,0.2607550482879719,350.0,0.30728709394205445
"Franklin County, MO",2017.0,1142.0,104.0,71.0,208.0,14.0,87.0,28.0,74.0,0.09106830122591944,0.06217162872154115,0.18213660245183888,0.012259194395796848,0.07618213660245184,0.024518388791593695,0.0647985989492119,57.0,126.0,0.049912434325744305,0.11033274956217162,985.0,0.862521891418564,306.0,0.2679509632224168,352.0,0.30823117338003503
"Franklin County, MO",2018.0,1074.0,111.0,78.0,195.0,12.0,84.0,30.0,96.0,0.10335195530726257,0.07262569832402235,0.18156424581005587,0.0111731843575419,0.0782122905027933,0.027932960893854747,0.0893854748603352,37.0,113.0,0.03445065176908752,0.10521415270018622,911.0,0.8482309124767226,301.0,0.2802607076350093,342.0,0.31843575418994413
"Franklin County, MO",2019.0,1122.0,107.0,79.0,187.0,15.0,90.0,51.0,105.0,0.09536541889483066,0.07040998217468805,0.16666666666666666,0.013368983957219251,0.08021390374331551,0.045454545454545456,0.09358288770053476,47.0,128.0,0.04188948306595366,0.1140819964349376,936.0,0.8342245989304813,300.0,0.26737967914438504,370.0,0.32976827094474154
"Franklin County, MO",2020.0,1001.0,103.0,64.0,157.0,,86.0,40.0,102.0,0.1028971028971029,0.06393606393606394,0.15684315684315683,,0.08591408591408592,0.03996003996003996,0.1018981018981019,57.0,114.0,0.056943056943056944,0.11388611388611389,826.0,0.8251748251748252,270.0,0.26973026973026976,354.0,0.35364635364635366
"Franklin County, MO",2021.0,1007.0,85.0,63.0,130.0,10.0,93.0,39.0,128.0,0.08440913604766634,0.06256206554121152,0.12909632571996027,0.009930486593843098,0.09235352532274081,0.038728897715988087,0.12711022840119166,42.0,119.0,0.041708043694141016,0.11817279046673287,867.0,0.8609731876861966,295.0,0.2929493545183714,303.0,0.30089374379344586
"Franklin County, MO",2022.0,1027.0,92.0,68.0,103.0,14.0,82.0,42.0,132.0,0.08958130477117819,0.06621226874391431,0.1002921129503408,0.013631937682570594,0.0798442064264849,0.04089581304771178,0.12852969814995133,40.0,139.0,0.03894839337877313,0.13534566699123662,863.0,0.8403115871470301,321.0,0.31256085686465435,316.0,0.3076923076923077
"Franklin County, MO",2023.0,1042.0,87.0,97.0,100.0,10.0,73.0,48.0,126.0,0.08349328214971209,0.09309021113243762,0.09596928982725528,0.009596928982725527,0.07005758157389635,0.046065259117082535,0.12092130518234165,33.0,134.0,0.03166986564299424,0.12859884836852206,870.0,0.8349328214971209,300.0,0.28790786948176583,360.0,0.345489443378119
"Franklin County, MO",2024.0,1110.0,136.0,74.0,79.0,14.0,110.0,60.0,125.0,0.12252252252252252,0.06666666666666667,0.07117117117117117,0.012612612612612612,0.0990990990990991,0.05405405405405406,0.11261261261261261,41.0,146.0,0.036936936936936934,0.13153153153153152,937.0,0.8441441441441442,335.0,0.30180180180180183,341.0,0.30720720720720723
"Greene County, MO",2016.0,2701.0,230.0,187.0,397.0,16.0,235.0,45.0,167.0,0.08515364679748241,0.06923361717882266,0.14698259903739355,0.005923731951129212,0.08700481303221029,0.016660496112550906,0.061828952239911146,150.0,318.0,0.055534987041836355,0.11773417252869307,1993.0,0.7378748611625324,859.0,0.31803035912624955,1084.0,0.4013328396890041
"Greene County, MO",2017.0,2841.0,270.0,180.0,435.0,20.0,266.0,42.0,177.0,0.09503695881731784,0.06335797254487856,0.15311510031678988,0.007039774727208729,0.0936290038718761,0.014783526927138331,0.06230200633579725,152.0,338.0,0.053502287926786345,0.11897219288982752,2164.0,0.7617036254839845,897.0,0.31573389651531153,1049.0,0.3692361844420978
"Greene County, MO",2018.0,3108.0,291.0,199.0,496.0,21.0,282.0,43.0,222.0,0.09362934362934362,0.06402831402831403,0.15958815958815958,0.006756756756756757,0.09073359073359073,0.013835263835263836,0.07142857142857142,191.0,377.0,0.061454311454311454,0.1212998712998713,2278.0,0.732947232947233,914.0,0.29407979407979407,1384.0,0.4453024453024453
"Greene County, MO",2019.0,3123.0,328.0,276.0,452.0,23.0,269.0,46.0,198.0,0.10502721741914825,0.08837656099903939,0.14473262888248478,0.007364713416586615,0.0861351264809478,0.01472942683317323,0.06340057636887608,184.0,397.0,0.05891770733269292,0.1271213576689081,2303.0,0.7374319564521293,930.0,0.297790585975024,1356.0,0.43419788664745435
"Greene County, MO",2020.0,3015.0,276.0,239.0,433.0,24.0,304.0,81.0,220.0,0.09154228855721393,0.07927031509121062,0.14361525704809286,0.007960199004975124,0.10082918739635158,0.026865671641791045,0.07296849087893864,165.0,368.0,0.05472636815920398,0.12205638474295191,2331.0,0.7731343283582089,900.0,0.29850746268656714,1379.0,0.45737976782752904
"Greene County, MO",2021.0,3064.0,314.0,214.0,349.0,26.0,295.0,64.0,246.0,0.10248041775456919,0.06984334203655353,0.11390339425587467,0.008485639686684074,0.09627937336814621,0.020887728459530026,0.08028720626631854,146.0,379.0,0.047650130548302874,0.12369451697127937,2389.0,0.7796997389033943,946.0,0.3087467362924282,1380.0,0.45039164490861616
"Greene County, MO",2022.0,2936.0,325.0,252.0,253.0,36.0,268.0,60.0,283.0,0.11069482288828338,0.08583106267029973,0.0861716621253406,0.01226158038147139,0.09128065395095368,0.020435967302452316,0.09638964577656675,162.0,414.0,0.055177111716621256,0.14100817438692098,2208.0,0.7520435967302452,939.0,0.31982288828337874,1261.0,0.42949591280653954
"Greene County, MO",2023.0,3000.0,299.0,248.0,203.0,23.0,320.0,73.0,281.0,0.09966666666666667,0.08266666666666667,0.06766666666666667,0.007666666666666666,0.10666666666666667,0.024333333333333332,0.09366666666666666,156.0,395.0,0.052,0.13166666666666665,2281.0,0.7603333333333333,927.0,0.309,1374.0,0.458
"Greene County, MO",2024.0,3204.0,310.0,265.0,210.0,29.0,302.0,72.0,352.0,0.09675405742821473,0.08270911360799,0.06554307116104868,0.009051186017478152,0.09425717852684144,0.02247191011235955,0.10986267166042447,149.0,441.0,0.046504369538077406,0.13764044943820225,2392.0,0.7465667915106118,1016.0,0.317103620474407,1591.0,0.4965667915106117
"Jackson County, MO",2016.0,8067.0,796.0,714.0,1005.0,83.0,424.0,222.0,488.0,0.0986736085285732,0.08850873930829305,0.12458162885831164,0.010288831040039668,0.052559811578033966,0.027519523986612122,0.06049336804264287,547.0,1044.0,0.0678071154084542,0.12941613982893269,5820.0,0.7214577910003719,2333.0,0.28920292549894633,3594.0,0.4455187802156936
"Jackson County, MO",2017.0,8137.0,840.0,738.0,919.0,82.0,469.0,287.0,572.0,0.10323214944082586,0.09069681700872557,0.11294088730490352,0.010077424112080619,0.05763795010446111,0.03527098439228217,0.07029617795256236,534.0,1094.0,0.06562615214452501,0.13444758510507557,5737.0,0.7050510015976404,2392.0,0.2939658350743517,3768.0,0.46306992749170456
"Jackson County, MO",2018.0,8155.0,870.0,736.0,851.0,59.0,488.0,266.0,644.0,0.10668301655426118,0.09025137952176579,0.1043531575720417,0.007234825260576333,0.059840588595953405,0.03261802575107296,0.07896995708154507,494.0,1188.0,0.06057633353770693,0.14567749846719805,5726.0,0.7021459227467811,2317.0,0.28412017167381975,3747.0,0.4594727161250766
"Jackson County, MO",2019.0,8089.0,864.0,763.0,788.0,87.0,550.0,325.0,670.0,0.106811719619236,0.09432562739522808,0.09741624428235876,0.010755346767214737,0.06799357151687477,0.04017801953269873,0.08282853257510199,497.0,1177.0,0.061441463716157746,0.145506243046112,5775.0,0.7139325009271851,2400.0,0.29669922116454445,3663.0,0.45283718630238595
"Jackson County, MO",2020.0,7881.0,837.0,696.0,719.0,79.0,627.0,312.0,706.0,0.10620479634564142,0.08831366577845451,0.0912320771475701,0.010024108615657912,0.07955843167110772,0.0395888846593072,0.08958254028676564,421.0,1194.0,0.05341961679989849,0.15150361629234868,5601.0,0.7106966121050629,2354.0,0.2986930592564395,3644.0,0.46237787082857507
"Jackson County, MO",2021.0,7446.0,843.0,760.0,540.0,73.0,626.0,349.0,760.0,0.11321514907332796,0.10206822455009401,0.072522159548751,0.00980392156862745,0.0840719849583669,0.04687080311576686,0.10206822455009401,355.0,1145.0,0.04767660488853075,0.15377383830244426,5567.0,0.7476497448294386,2464.0,0.33091592801504166,3364.0,0.45178619392962666
"Jackson County, MO",2022.0,7935.0,896.0,824.0,433.0,108.0,639.0,397.0,912.0,0.1129174543163201,0.10384373030875867,0.054568367989918085,0.013610586011342156,0.08052930056710775,0.05003150598613736,0.11493383742911154,398.0,1272.0,0.05015752993068683,0.1603024574669187,5880.0,0.7410207939508506,2598.0,0.3274102079395085,3499.0,0.44095778197857594
"Jackson County, MO",2023.0,8029.0,843.0,716.0,361.0,114.0,675.0,357.0,939.0,0.10499439531697596,0.08917673433802466,0.04496201270394819,0.014198530327562586,0.08407024536056794,0.044463818657367045,0.1169510524349234,394.0,1363.0,0.04907211358824262,0.1697596213725246,5835.0,0.7267405654502429,2657.0,0.3309253954415245,3649.0,0.454477518993648
"Jackson County, MO",2024.0,8198.0,875.0,791.0,297.0,130.0,640.0,405.0,1024.0,0.10673334959746279,0.09648694803610637,0.03622834837765308,0.015857526225908757,0.0780678214198585,0.04940229324225421,0.1249085142717736,402.0,1353.0,0.049036350329348624,0.1650402537204196,5850.0,0.7135886801658942,2609.0,0.31824835325689194,3628.0,0.4425469626738229
"Jasper County, MO",2016.0,1594.0,119.0,88.0,278.0,14.0,104.0,29.0,119.0,0.07465495608531995,0.05520702634880803,0.17440401505646172,0.00878293601003764,0.06524466750313676,0.01819322459222083,0.07465495608531995,135.0,134.0,0.08469259723964868,0.08406524466750313,1210.0,0.7590966122961104,320.0,0.20075282308657466,823.0,0.5163111668757842
"Jasper County, MO",2017.0,1538.0,133.0,92.0,257.0,20.0,103.0,41.0,125.0,0.08647594278283485,0.05981794538361508,0.1671001300390117,0.013003901170351105,0.06697009102730819,0.026657997399219768,0.0812743823146944,135.0,120.0,0.08777633289986995,0.07802340702210664,1195.0,0.7769830949284785,316.0,0.20546163849154747,765.0,0.49739921976592977
"Jasper County, MO",2018.0,1494.0,155.0,97.0,243.0,14.0,101.0,33.0,118.0,0.1037483266398929,0.06492637215528782,0.16265060240963855,0.009370816599732263,0.06760374832663989,0.02208835341365462,0.07898259705488621,122.0,152.0,0.08165997322623829,0.10174029451137885,1143.0,0.7650602409638554,301.0,0.20147255689424365,696.0,0.46586345381526106
"Jasper County, MO",2019.0,1473.0,130.0,96.0,221.0,,119.0,36.0,111.0,0.08825526137135098,0.06517311608961303,0.1500339443312967,,0.08078750848608282,0.024439918533604887,0.07535641547861507,146.0,115.0,0.09911744738628649,0.07807196198234895,1109.0,0.7528852681602173,304.0,0.20638153428377462,690.0,0.4684317718940937
"Jasper County, MO",2020.0,1430.0,134.0,87.0,205.0,19.0,139.0,51.0,99.0,0.0937062937062937,0.06083916083916084,0.14335664335664336,0.013286713286713287,0.0972027972027972,0.03566433566433566,0.06923076923076923,98.0,161.0,0.06853146853146853,0.11258741258741259,1100.0,0.7692307692307693,319.0,0.2230769230769231,714.0,0.4993006993006993
"Jasper County, MO",2021.0,1478.0,180.0,146.0,153.0,22.0,113.0,52.0,120.0,0.12178619756427606,0.09878213802435724,0.10351826792963464,0.014884979702300407,0.07645466847090664,0.035182679296346414,0.08119079837618404,98.0,145.0,0.06630581867388363,0.09810554803788904,1227.0,0.8301759133964818,302.0,0.20433017591339647,717.0,0.4851150202976996
"Jasper County, MO",2022.0,1510.0,184.0,113.0,137.0,19.0,113.0,51.0,114.0,0.12185430463576159,0.07483443708609272,0.09072847682119205,0.012582781456953643,0.07483443708609272,0.03377483443708609,0.07549668874172186,115.0,155.0,0.076158940397351,0.10264900662251655,1186.0,0.785430463576159,352.0,0.23311258278145697,763.0,0.5052980132450331
"Jasper County, MO",2023.0,1379.0,156.0,100.0,95.0,22.0,118.0,59.0,109.0,0.11312545322697606,0.0725163161711385,0.06889050036258158,0.01595358955765047,0.08556925308194344,0.04278462654097172,0.07904278462654098,92.0,137.0,0.06671501087744743,0.09934735315445975,1079.0,0.7824510514865844,318.0,0.23060188542422044,735.0,0.5329949238578681
"Jasper County, MO",2024.0,1406.0,142.0,90.0,96.0,14.0,120.0,61.0,123.0,0.10099573257467995,0.06401137980085349,0.06827880512091039,0.00995732574679943,0.08534850640113797,0.04338549075391181,0.08748221906116643,98.0,146.0,0.06970128022759602,0.10384068278805121,1093.0,0.7773826458036984,344.0,0.24466571834992887,745.0,0.5298719772403983
"Jefferson County, MO",2016.0,2287.0,191.0,136.0,397.0,16.0,121.0,45.0,191.0,0.0835155225185833,0.059466550065588104,0.17358985570616528,0.006996064713598601,0.052907739396589416,0.019676432006996064,0.0835155225185833,114.0,260.0,0.04984696108439003,0.11368605159597726,1924.0,0.8412767818102318,687.0,0.3003935286401399,663.0,0.289899431569742
"Jefferson County, MO",2017.0,2063.0,184.0,130.0,344.0,19.0,155.0,40.0,200.0,0.08919049927290354,0.06301502666020359,0.16674745516238487,0.009209888511875909,0.07513330101793504,0.019389238972370333,0.09694619486185167,88.0,270.0,0.04265632573921473,0.13087736306349976,1654.0,0.8017450315075133,615.0,0.2981095492001939,624.0,0.3024721279689772
"Jefferson County, MO",2018.0,2124.0,259.0,170.0,356.0,15.0,195.0,48.0,202.0,0.121939736346516,0.0800376647834275,0.16760828625235405,0.007062146892655367,0.09180790960451977,0.022598870056497175,0.0951035781544256,102.0,298.0,0.0480225988700565,0.14030131826741996,1637.0,0.7707156308851224,654.0,0.307909604519774,651.0,0.3064971751412429
"Jefferson County, MO",2019.0,2145.0,254.0,167.0,339.0,16.0,182.0,70.0,248.0,0.11841491841491841,0.07785547785547786,0.15804195804195803,0.007459207459207459,0.08484848484848485,0.03263403263403263,0.11561771561771562,68.0,281.0,0.031701631701631705,0.131002331002331,1641.0,0.765034965034965,661.0,0.30815850815850815,634.0,0.29557109557109557
"Jefferson County, MO",2020.0,2108.0,265.0,154.0,278.0,17.0,203.0,57.0,232.0,0.12571157495256166,0.0730550284629981,0.1318785578747628,0.008064516129032258,0.09629981024667932,0.027039848197343452,0.11005692599620494,73.0,302.0,0.03462998102466793,0.1432637571157495,1531.0,0.726280834914611,661.0,0.3135673624288425,626.0,0.2969639468690702
"Jefferson County, MO",2021.0,2077.0,240.0,141.0,246.0,21.0,192.0,72.0,235.0,0.11555127587867116,0.06788637457871931,0.11844005777563794,0.010110736639383727,0.09244102070293693,0.03466538276360135,0.11314395763119885,63.0,293.0,0.03033220991815118,0.1410688493018777,1627.0,0.7833413577274916,728.0,0.35050553683196917,591.0,0.28454501685122774
"Jefferson County, MO",2022.0,2031.0,253.0,142.0,191.0,24.0,160.0,71.0,284.0,0.12456917774495323,0.06991629739044805,0.09404234367306745,0.011816838995568686,0.07877892663712457,0.034958148695224026,0.1398325947808961,52.0,298.0,0.025603151157065487,0.14672575086164452,1557.0,0.7666174298375185,685.0,0.3372722796651896,578.0,0.2845888724766125
"Jefferson County, MO",2023.0,2151.0,274.0,178.0,142.0,28.0,167.0,84.0,324.0,0.12738261273826126,0.08275220827522083,0.06601580660158066,0.01301720130172013,0.07763830776383078,0.03905160390516039,0.1506276150627615,50.0,336.0,0.023245002324500233,0.15620641562064155,1675.0,0.7787075778707578,765.0,0.35564853556485354,589.0,0.27382612738261275
"Jefferson County, MO",2024.0,2182.0,249.0,179.0,133.0,29.0,194.0,126.0,301.0,0.11411549037580201,0.08203483043079743,0.06095325389550871,0.013290559120073327,0.08890925756186985,0.05774518790100825,0.1379468377635197,61.0,324.0,0.027956003666361137,0.14848762603116408,1715.0,0.7859761686526123,798.0,0.36571952337305225,578.0,0.2648945921173236
"St. Charles County, MO",2016.0,3992.0,368.0,276.0,346.0,22.0,273.0,78.0,312.0,0.09218436873747494,0.06913827655310621,0.08667334669338678,0.005511022044088177,0.06838677354709419,0.019539078156312624,0.0781563126252505,95.0,623.0,0.02379759519038076,0.156062124248497,3491.0,0.874498997995992,2124.0,0.5320641282565131,662.0,0.1658316633266533
"St. Charles County, MO",2017.0,3918.0,330.0,257.0,301.0,19.0,293.0,83.0,357.0,0.08422664624808576,0.06559469116896376,0.07682491066870853,0.004849412965798877,0.07478305257784584,0.021184277692700357,0.09111791730474732,73.0,702.0,0.018631955079122003,0.17917304747320062,3328.0,0.8494129657988769,2095.0,0.5347115875446656,579.0,0.14777947932618682
"St. Charles County, MO",2018.0,3872.0,379.0,239.0,253.0,17.0,319.0,80.0,371.0,0.09788223140495868,0.06172520661157025,0.06534090909090909,0.004390495867768595,0.08238636363636363,0.02066115702479339,0.09581611570247933,76.0,716.0,0.01962809917355372,0.18491735537190082,3363.0,0.8685433884297521,2099.0,0.5420971074380165,571.0,0.1474690082644628
"St. Charles County, MO",2019.0,3958.0,392.0,282.0,244.0,32.0,297.0,84.0,397.0,0.09903991915108641,0.07124810510358767,0.061647296614451744,0.00808489135927236,0.07503789792824658,0.021222839818089943,0.10030318342597272,70.0,773.0,0.017685699848408287,0.19530065689742293,3377.0,0.8532086912582112,2175.0,0.5495199595755432,604.0,0.15260232440626578
"St. Charles County, MO",2020.0,3676.0,372.0,248.0,211.0,27.0,352.0,108.0,398.0,0.10119695321001088,0.06746463547334058,0.0573993471164309,0.0073449401523395,0.0957562568008705,0.029379760609358,0.10826985854189336,62.0,711.0,0.016866158868335146,0.19341675734494015,3100.0,0.8433079434167573,2040.0,0.5549510337323177,602.0,0.16376496191512513
"St. Charles County, MO",2021.0,3558.0,347.0,224.0,142.0,49.0,332.0,87.0,377.0,0.09752670039347948,0.0629567172568859,0.039910061832490164,0.013771781899943788,0.09331084879145587,0.024451939291736932,0.1059584035975267,44.0,730.0,0.012366498032602586,0.20517144463181564,2992.0,0.8409218662169758,2060.0,0.5789769533445756,525.0,0.1475548060708263
"St. Charles County, MO",2022.0,3687.0,394.0,276.0,97.0,38.0,342.0,93.0,496.0,0.10686194738269596,0.07485760781122865,0.026308652020612965,0.010306482234879306,0.09275834011391375,0.025223759153783564,0.13452671548684567,56.0,715.0,0.015188500135611608,0.19392459994575537,3006.0,0.8152969894222946,2151.0,0.5834011391375101,598.0,0.1621914835909954
"St. Charles County, MO",2023.0,3583.0,338.0,233.0,87.0,45.0,320.0,126.0,442.0,0.09433435668434273,0.06502930505163271,0.024281328495674017,0.012559307842590009,0.08931063354730673,0.035166061959252023,0.12336031258721741,44.0,752.0,0.012280212112754674,0.20987998883617082,2902.0,0.8099358079821378,2120.0,0.5916829472509071,542.0,0.15126988557075077
"St. Charles County, MO",2024.0,3730.0,389.0,274.0,47.0,51.0,353.0,110.0,481.0,0.10428954423592493,0.07345844504021448,0.01260053619302949,0.013672922252010724,0.09463806970509384,0.029490616621983913,0.1289544235924933,41.0,780.0,0.01099195710455764,0.20911528150134048,2990.0,0.8016085790884718,2244.0,0.6016085790884719,555.0,0.1487935656836461
"St. Louis County, MO",2016.0,9670.0,1011.0,818.0,705.0,69.0,621.0,239.0,791.0,0.10455015511892451,0.08459152016546019,0.07290589451913133,0.007135470527404343,0.06421923474663908,0.024715615305067218,0.08179937952430197,356.0,1886.0,0.03681489141675284,0.1950361944157187,7966.0,0.8237849017580144,4891.0,0.5057911065149948,2788.0,0.28831437435367113
"St. Louis County, MO",2017.0,8974.0,906.0,800.0,561.0,71.0,612.0,263.0,747.0,0.10095832404724761,0.08914642299977714,0.06251392912859371,0.00791174504123022,0.0681970135948295,0.029306886561176734,0.0832404724760419,313.0,1761.0,0.034878537998662806,0.19623356362825942,7097.0,0.7908402050367729,4470.0,0.4981056385112547,2690.0,0.2997548473367506
"St. Louis County, MO",2018.0,9221.0,999.0,871.0,550.0,90.0,634.0,255.0,812.0,0.10833965947294219,0.09445830170263529,0.05964645916928749,0.009760329682247045,0.0687561002060514,0.027654267433033293,0.08805986335538445,285.0,1841.0,0.030907710660448975,0.19965296605574231,7042.0,0.763691573582041,4654.0,0.5047174926797527,2649.0,0.2872790369808047
"St. Louis County, MO",2019.0,9666.0,1079.0,895.0,561.0,119.0,735.0,310.0,945.0,0.11162838816470101,0.09259259259259259,0.05803848541278709,0.012311193875439686,0.07603972687771571,0.032071177322573974,0.09776536312849161,306.0,1997.0,0.03165735567970205,0.20660045520380715,7281.0,0.7532588454376163,4737.0,0.4900682805710739,2905.0,0.3005379681357335
"St. Louis County, MO",2020.0,8779.0,1012.0,824.0,432.0,94.0,743.0,325.0,852.0,0.11527508827884725,0.09386034855906139,0.04920833807950792,0.010707369859892926,0.08463378516915367,0.0370201617496298,0.0970497778790295,253.0,1822.0,0.028818772069711812,0.2075407221779246,6579.0,0.749401982002506,4279.0,0.4874131450051259,2730.0,0.3109693586968903
